SampleID,path,Label,Set,tissue,assay_type
EE86079,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86079.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86080,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86080.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86081,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86081.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86082,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86082.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86083,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86083.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86084,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86084.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86085,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86085.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86086,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86086.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86087,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86087.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86088,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86088.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86089,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86089.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86090,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86090.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86091,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86091.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86092,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86092.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
