SampleID,path,Label,Set,tissue,assay_type,newpath
EE86038,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86038.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86038.hg19.frag.tsv
EE86039,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86039.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86039.hg19.frag.tsv
EE86040,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86040.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86040.hg19.frag.tsv
EE86041,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86041.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86041.hg19.frag.tsv
EE86042,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86042.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86042.hg19.frag.tsv
EE86043,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86043.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86043.hg19.frag.tsv
EE86044,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86044.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86044.hg19.frag.tsv
EE86045,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86045.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86045.hg19.frag.tsv
EE86046,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86046.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86046.hg19.frag.tsv
EE86047,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86047.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86047.hg19.frag.tsv
EE86048,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86048.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86048.hg19.frag.tsv
EE86049,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86049.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86049.hg19.frag.tsv
EE86050,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86050.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86050.hg19.frag.tsv
EE86051,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86051.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86051.hg19.frag.tsv
EE86052,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86052.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86052.hg19.frag.tsv
EE86053,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86053.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86053.hg19.frag.tsv
EE86054,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86054.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86054.hg19.frag.tsv
